sample_id,user_id,item_seq_item_id,item_seq_category_id,item_seq_action_type,item_seq_timestamp,,item_seq_length
1234567_99999,[1234567],"[[11111],[22222],[33333],[44444],[55555]]","[[11111],[22222],[33333],[44444],[55555]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",,5
1234111_99999,[1234111],"[[77777],[22222],[88888],[44444],[55555]]","[[77777],[22222],[88888],[44444],[55555]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",,5
1234222_99999,[1234222],"[[11111],[22222],[33333],[44444],[55555]]","[[11111],[22222],[33333],[44444],[55555]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",,5
1234333_99999,[1234333],"[[11111],[22222],[33333],[44444],[55555]]","[[11111],[22222],[33333],[44444],[55555]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",,5
1234444_99999,[1234444],"[[11111],[22222],[33333],[44444],[55555]]","[[11111],[22222],[33333],[44444],[55555]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",,5
1234555_99999,[1234555],"[[11111],[2222],[33333],[44444],[55555]]","[[11111],[2222],[33333],[44444],[55555]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",,5
1234567_99999,[1234567],"[[111],[222],[333],[444],[555]]","[[111],[222],[333],[444],[555]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",,5
1234111_99999,[1234111],"[[222],[332],[444],[444],[555]]","[[222],[332],[444],[444],[555]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",,5
1234222_99999,[1234222],"[[11111],[22222],[33333],[44444],[55555]]","[[11111],[22222],[33333],[44444],[55555]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",,5
1234333_99999,[1234333],"[[11],[22],[33],[44],[55]]","[[11],[22],[33],[44],[55]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",,5
1234444_99999,[1234444],"[[11],[2222],[33],[123],[55555]]","[[11],[2222],[33],[123],[55555]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",,5
1234567_99999,[1234567],"[[111],[222],[333],[444],[555]]","[[111],[222],[333],[444],[555]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",,5
1234111_99999,[1234111],"[[222],[332],[444],[444],[555]]","[[222],[332],[444],[444],[555]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",,5
1234222_99999,[1234222],"[[11111],[22222],[33333],[44444],[55555]]","[[11111],[22222],[33333],[44444],[55555]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",,5
