sample_id,user_id,item_seq_item_id,item_seq_category_id,item_seq_action_type,item_seq_timestamp,target_item_item_id,target_item_category_id,item_seq_length,user_res
1234567_99999,[1234567],"[[123],[11111],[22222],[33333],[44444]]","[[123],[11111],[22222],[33333],[44444]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",[55555],[55555],5,"[0.34972062706947327, 0.25142407417297363, 0.359399676322937, -2.1154403686523438, 0.38670623302459717, 0.4279663860797882, -0.27808210253715515, 0.11438421905040741, 0.3591148555278778, 0.4217398464679718, 0.3353424668312073, 0.3898044526576996, 0.3138154447078705, 0.34924039244651794, 0.3931226432323456, -2.7358944416046143, -0.6764554977416992, 0.23136727511882782, 0.193306103348732, 0.4509575068950653, 0.2753117084503174, 0.4281073212623596, 0.36634504795074463, -4.210467338562012, 0.2911015748977661, 0.37757641077041626, 0.3265252113342285, 0.37676987051963806, 0.3231273591518402, 0.31409791111946106, 0.4742293059825897, -1.970516562461853, 0.1758807748556137, 0.3663901388645172, 0.3676151633262634, 0.09196294844150543, -2.0706756114959717, 0.31293803453445435, 0.5185975432395935, 0.4064934551715851, 0.10294905304908752, 0.41706353425979614, 0.3362556993961334, -2.0144431591033936, 0.45339205861091614, 0.48657557368278503, 0.34668275713920593, 0.364052414894104, 0.33565112948417664, 0.4032862186431885, 0.2821820080280304, 0.3700238764286041, 0.3713958263397217, 0.12354522943496704, 0.348014771938324, 0.3757229149341583, 0.37494614720344543, 0.34923285245895386, -2.5893537998199463, -1.253443956375122, 0.4566234052181244, 0.3112800419330597, 0.22469450533390045, 0.42524680495262146, 0.31522172689437866, 0.33730125427246094, 0.40177062153816223, 0.3254728317260742, -2.5678153038024902, 0.3514876067638397, 0.42070165276527405, 0.2756364643573761, 0.24838478863239288, 0.3465743958950043, 0.46180301904678345, -0.6920779347419739, 0.37992388010025024, 0.19979341328144073, 0.48672211170196533, 0.3689974844455719, 0.3119679093360901, 0.4065733850002289, 0.47295570373535156, 0.3088841438293457, -2.6325316429138184, 0.41273921728134155, 0.3225957751274109, 0.24605309963226318, 0.5013046264648438, 0.32176119089126587, 0.32651007175445557, 0.4477725327014923, 0.3214971125125885, -1.9500601291656494, 0.2860914170742035, 0.22057569026947021, 0.35104280710220337, 0.31265947222709656, 0.36535513401031494, -0.4584319293498993, 0.34177395701408386, 0.3798931837081909, 0.4632243812084198, 0.5353381037712097, -4.328385353088379, 0.36794862151145935, 0.4026276469230652, 0.26997852325439453, 0.21929588913917542, 0.34809988737106323, 0.35450315475463867, 0.39307528734207153, 0.3536369204521179, 0.2447798103094101, -3.68111252784729, 0.41351911425590515, -3.6038832664489746, 0.08790969848632812, 0.2779918611049652, 0.4212901294231415, 0.2819560468196869, -0.33855772018432617, 0.503485381603241, 0.4010997712612152, -2.2607016563415527, 0.49423739314079285, -0.491513729095459, 0.35299599170684814]"
1234567_100000,[1234568],"[[111],[11111],[22222],[33333],[44444]]","[[111],[11111],[22222],[33333],[44444]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",[55555],[55555],5,"[0.36362311244010925, 0.29946091771125793, 0.36958321928977966, -2.104703903198242, 0.42135128378868103, 0.44480255246162415, -0.2231944054365158, 0.186817929148674, 0.3391362726688385, 0.37485793232917786, 0.21700532734394073, 0.46021315455436707, 0.3746761381626129, 0.34943681955337524, 0.3063834607601166, -2.815476894378662, -0.6895279884338379, 0.22653622925281525, 0.2393050640821457, 0.3554827868938446, 0.2294476181268692, 0.4258423447608948, 0.35122790932655334, -4.230798244476318, 0.31854405999183655, 0.446541965007782, 0.34035569429397583, 0.38550031185150146, 0.31234532594680786, 0.3194306492805481, 0.43937546014785767, -1.9378021955490112, 0.17251896858215332, 0.3536767065525055, 0.4264982044696808, 0.030415046960115433, -1.973554253578186, 0.2743755578994751, 0.38078024983406067, 0.35820871591567993, 0.17061041295528412, 0.41698139905929565, 0.33882012963294983, -2.060558557510376, 0.4209318459033966, 0.44133293628692627, 0.38133201003074646, 0.3369655907154083, 0.3619242012500763, 0.4280712902545929, 0.36308273673057556, 0.3581361770629883, 0.40622419118881226, 0.2244514673948288, 0.2593357264995575, 0.30199888348579407, 0.3316984474658966, 0.30349400639533997, -2.566899061203003, -1.2450562715530396, 0.42776766419410706, 0.31851091980934143, 0.22118867933750153, 0.48263975977897644, 0.28399351239204407, 0.3534910976886749, 0.4576468765735626, 0.32267051935195923, -2.5822038650512695, 0.3671017289161682, 0.42188188433647156, 0.3337903618812561, 0.24255074560642242, 0.37176740169525146, 0.44903066754341125, -0.6454501748085022, 0.40636155009269714, 0.1545601189136505, 0.4607778787612915, 0.3668558895587921, 0.3331815004348755, 0.48758381605148315, 0.4528485834598541, 0.3390145003795624, -2.6640145778656006, 0.3272239565849304, 0.33588719367980957, 0.2364322543144226, 0.38752827048301697, 0.39093828201293945, 0.3716268539428711, 0.45724284648895264, 0.3001478612422943, -2.011687755584717, 0.27803176641464233, 0.2985535264015198, 0.42271730303764343, 0.3022966980934143, 0.36504632234573364, -0.4502085745334625, 0.4095262289047241, 0.3232147991657257, 0.44333305954933167, 0.47017383575439453, -4.289183616638184, 0.33220094442367554, 0.47172969579696655, 0.26185548305511475, 0.2906308174133301, 0.3452882766723633, 0.3184778690338135, 0.33201491832733154, 0.42674821615219116, 0.33240437507629395, -3.7228047847747803, 0.345887154340744, -3.594782829284668, 0.08807313442230225, 0.2779023051261902, 0.4300849139690399, 0.26515328884124756, -0.37108322978019714, 0.4594089686870575, 0.35252562165260315, -2.2021334171295166, 0.40898358821868896, -0.46594515442848206, 0.4173036813735962]"
1234567_100001,[1234569],"[[111],[11111],[22],[33333],[44444]]","[[111],[11111],[22],[33333],[44444]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",[55555],[55555],5,"[0.3360026478767395, 0.325001984834671, 0.2923375964164734, -2.114187002182007, 0.46694859862327576, 0.41140806674957275, -0.23739534616470337, 0.20410612225532532, 0.3670884668827057, 0.42609772086143494, 0.2151462733745575, 0.40929412841796875, 0.374899297952652, 0.30334243178367615, 0.2789306044578552, -2.7715487480163574, -0.6619465947151184, 0.2163648158311844, 0.294170618057251, 0.3560321033000946, 0.2975147068500519, 0.3716067671775818, 0.38043105602264404, -4.19824743270874, 0.2988907992839813, 0.3898444175720215, 0.2536311745643616, 0.3716725707054138, 0.3333513140678406, 0.34532150626182556, 0.44761642813682556, -1.8642094135284424, 0.16104935109615326, 0.3672962486743927, 0.5013152360916138, -0.00824019592255354, -2.0461015701293945, 0.2889173924922943, 0.365236759185791, 0.37762895226478577, 0.25211969017982483, 0.39289313554763794, 0.3712090849876404, -2.026867628097534, 0.4542883038520813, 0.3757091462612152, 0.3434600830078125, 0.30548521876335144, 0.3554798364639282, 0.4482862055301666, 0.3033451735973358, 0.3787263333797455, 0.42105957865715027, 0.23360809683799744, 0.27741527557373047, 0.29772329330444336, 0.38249123096466064, 0.2951509654521942, -2.5900957584381104, -1.3245654106140137, 0.4393305480480194, 0.3860624134540558, 0.27210772037506104, 0.4947645962238312, 0.2928088307380676, 0.3474637269973755, 0.34343329071998596, 0.31057626008987427, -2.609772205352783, 0.39997828006744385, 0.4540165066719055, 0.2829248905181885, 0.2836865186691284, 0.3896127939224243, 0.4341597557067871, -0.70423823595047, 0.47468388080596924, 0.20394091308116913, 0.46102556586265564, 0.30139434337615967, 0.31586822867393494, 0.5178395509719849, 0.44074851274490356, 0.27498143911361694, -2.6621687412261963, 0.29428771138191223, 0.348570853471756, 0.2445751130580902, 0.36736154556274414, 0.3605201840400696, 0.3704856038093567, 0.45645126700401306, 0.3243749439716339, -2.0200297832489014, 0.3096432089805603, 0.3795612156391144, 0.3713417947292328, 0.308287650346756, 0.3213040232658386, -0.43998920917510986, 0.39861732721328735, 0.31115564703941345, 0.39130961894989014, 0.4778921902179718, -4.273364067077637, 0.3067868947982788, 0.3661959767341614, 0.3164723515510559, 0.30793526768684387, 0.3600529432296753, 0.362185537815094, 0.2970321476459503, 0.4338487386703491, 0.3822256922721863, -3.7703869342803955, 0.3826444149017334, -3.574667453765869, 0.06987621635198593, 0.3009236454963684, 0.49188461899757385, 0.27285563945770264, -0.3428102433681488, 0.3653249442577362, 0.4123457670211792, -2.1895833015441895, 0.370998740196228, -0.4893611967563629, 0.4648904800415039]"
1234567_100002,[1234570],"[[1111],[1111],[3333],[3333],[5555]]","[[1111],[1111],[3333],[3333],[5555]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",[5555],[5555],5,"[0.28084367513656616, 0.6014585494995117, 0.4683164358139038, -2.093613862991333, 0.12628766894340515, 0.3626095652580261, -0.6402082443237305, 0.2986167073249817, 0.3698910176753998, 0.2682584524154663, 0.2818816304206848, 0.2899114787578583, 0.34161970019340515, 0.40719839930534363, 0.3689184784889221, -2.737715005874634, -0.6085687279701233, 0.5091778039932251, 0.3346484899520874, 0.38099876046180725, 0.19497404992580414, 0.5888779759407043, 0.3139728009700775, -4.1815505027771, 0.427162230014801, 0.44651418924331665, 0.42181286215782166, 0.35707277059555054, 0.23463094234466553, 0.4153866767883301, 0.4348904490470886, -1.8609812259674072, 0.08148448914289474, 0.2660205364227295, 0.5418673753738403, 0.12571583688259125, -2.1222541332244873, 0.12045774608850479, 0.197658509016037, 0.5072183609008789, 0.3689880967140198, 0.18382270634174347, 0.37478649616241455, -1.8580878973007202, 0.5372958779335022, 0.5616431832313538, 0.08192594349384308, 0.5155827403068542, 0.3894871771335602, 0.3090912103652954, 0.44971558451652527, 0.5104634165763855, 0.2497217059135437, 0.09290741384029388, 0.1787886917591095, 0.33474162220954895, 0.5221335887908936, 0.11051701009273529, -2.397341012954712, -1.1853526830673218, 0.35540536046028137, 0.19680742919445038, 0.28178197145462036, 0.46526697278022766, 0.03775395080447197, 0.42890143394470215, 0.5049851536750793, 0.3255150616168976, -2.5366129875183105, 0.3445533812046051, 0.08398392051458359, 0.20661796629428864, -0.033449579030275345, 0.2588346600532532, 0.2761842906475067, -0.7421501278877258, 0.3366972506046295, 0.1452423334121704, 0.44139137864112854, 0.24726349115371704, 0.5529479384422302, 0.3430197834968567, 0.457963764667511, 0.5290148854255676, -2.459516763687134, 0.6318885684013367, 0.2762961685657501, 0.2355528473854065, 0.26866787672042847, 0.4777924418449402, 0.3538678288459778, 0.502263605594635, 0.6635984182357788, -2.1268715858459473, 0.17997074127197266, 0.38382431864738464, 0.6956232786178589, 0.4645114541053772, 0.29662269353866577, -0.360697478055954, 0.6255940794944763, 0.40213635563850403, 0.26041552424430847, 0.2082439363002777, -4.535430908203125, 0.42328330874443054, 0.6122801303863525, 0.07629185914993286, 0.3710774779319763, 0.06403177231550217, 0.3958790898323059, 0.38515618443489075, 0.5833848714828491, 0.15693940222263336, -3.570802688598633, 0.23534971475601196, -3.548330783843994, 0.20085151493549347, 0.059014856815338135, 0.4006336033344269, 0.4511536955833435, -0.25931280851364136, 0.525950014591217, 0.2646907866001129, -2.3241288661956787, 0.32385972142219543, -0.41451695561408997, 0.44233816862106323]"
1234567_100003,[1234571],"[[777],[1],[2],[33333],[4]]","[[777],[1],[2],[33333],[4]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",[5],[5],5,"[0.37097397446632385, 0.454309344291687, 0.40814340114593506, -2.031473159790039, 0.3965403735637665, 0.27359139919281006, -0.23913398385047913, 0.32893118262290955, 0.4755224287509918, 0.3318328857421875, 0.29641827940940857, 0.432648241519928, 0.4022381901741028, 0.37127476930618286, 0.2598709762096405, -2.952237129211426, -0.618201732635498, 0.33785295486450195, 0.48959726095199585, 0.322292685508728, 0.3403227925300598, 0.41134148836135864, 0.5172096490859985, -4.22340202331543, 0.3697473406791687, 0.39153552055358887, 0.4097151756286621, 0.26178595423698425, 0.24909108877182007, 0.34225767850875854, 0.1819683015346527, -1.9157112836837769, 0.2729523777961731, 0.41376668214797974, 0.3325260281562805, 0.154792919754982, -1.9329583644866943, 0.43745121359825134, 0.32018712162971497, 0.33235135674476624, 0.12329849600791931, 0.3057556748390198, 0.295867383480072, -1.9470711946487427, 0.3731215000152588, 0.254459947347641, 0.24289382994174957, 0.3629564642906189, 0.43662843108177185, 0.27047210931777954, 0.2841019034385681, 0.34863296151161194, 0.3119794726371765, 0.26003432273864746, 0.4162258207798004, 0.2609058916568756, 0.37045156955718994, 0.35567718744277954, -2.5297982692718506, -1.2243332862854004, 0.25999146699905396, 0.39757657051086426, 0.16982030868530273, 0.424949586391449, 0.23597972095012665, 0.47032883763313293, 0.26373061537742615, 0.27052369713783264, -2.6754844188690186, 0.48731452226638794, 0.45212820172309875, 0.3436591923236847, 0.34879443049430847, 0.5063256025314331, 0.1912430226802826, -0.6657105088233948, 0.49740874767303467, 0.2034599334001541, 0.36428073048591614, 0.22671771049499512, 0.24307556450366974, 0.4364508092403412, 0.38750118017196655, 0.43920567631721497, -2.6849594116210938, 0.24007950723171234, 0.41008108854293823, 0.34821298718452454, 0.34589076042175293, 0.32554763555526733, 0.40091443061828613, 0.5523494482040405, 0.21083278954029083, -1.999213457107544, 0.4154035449028015, 0.2809975743293762, 0.4095890522003174, 0.3442257344722748, 0.3088962733745575, -0.5360462069511414, 0.5467867255210876, 0.33347609639167786, 0.3038213849067688, 0.287179559469223, -4.346299648284912, 0.30904990434646606, 0.31334495544433594, 0.09542138129472733, 0.3829990029335022, 0.3687770962715149, 0.1992844194173813, 0.3408162593841553, 0.32769912481307983, 0.3354441523551941, -3.6399261951446533, 0.4727056324481964, -3.5199363231658936, 0.21176877617835999, 0.45085608959198, 0.4425084888935089, 0.36539047956466675, -0.4765281081199646, 0.5085154175758362, 0.46231111884117126, -2.3092236518859863, 0.40707677602767944, -0.36568304896354675, 0.43311208486557007]"
1234567_100004,[1234572],"[[777],[111],[222],[333],[444]]","[[777],[111],[222],[333],[444]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",[555],[555],5,"[0.2679309844970703, 0.3521350920200348, 0.6598954200744629, -2.1414496898651123, 0.2159622311592102, 0.2226063758134842, -0.3145289719104767, 0.19017130136489868, 0.38730424642562866, 0.2987234592437744, 0.08893458545207977, 0.27378061413764954, 0.23633268475532532, 0.4504970610141754, 0.398059219121933, -2.860649347305298, -0.7400394082069397, 0.4524918794631958, 0.4444770812988281, 0.22807791829109192, 0.39717814326286316, 0.43151378631591797, 0.28753408789634705, -4.220978736877441, 0.5062896013259888, 0.4324663281440735, 0.38354530930519104, 0.3673466145992279, 0.2589253783226013, 0.37074607610702515, 0.40520405769348145, -1.904088020324707, 0.1288972645998001, 0.29653194546699524, 0.4546411335468292, 0.039376623928546906, -2.009674310684204, 0.4461537003517151, 0.35251671075820923, 0.4230051636695862, 0.23196321725845337, 0.4232843518257141, 0.32813480496406555, -2.1261231899261475, 0.48826560378074646, 0.3171059489250183, 0.3698172867298126, 0.3494102358818054, 0.2646137475967407, 0.6138039827346802, 0.34964829683303833, 0.27372774481773376, 0.2206404209136963, 0.2989520728588104, 0.3249725103378296, 0.27319854497909546, 0.41725072264671326, 0.3488900661468506, -2.6520607471466064, -1.327629566192627, 0.3612147867679596, 0.36048951745033264, 0.13667674362659454, 0.49359026551246643, 0.27703049778938293, 0.5331023335456848, 0.3297153115272522, 0.3394000828266144, -2.5319716930389404, 0.3691145181655884, 0.32169410586357117, 0.2995778024196625, 0.3283297121524811, 0.31101441383361816, 0.3818269670009613, -0.5351621508598328, 0.37825843691825867, 0.2966323494911194, 0.31512370705604553, 0.3472781181335449, 0.4603385925292969, 0.5002460479736328, 0.25029584765434265, 0.39101001620292664, -2.5698463916778564, 0.43786847591400146, 0.2668207585811615, 0.3169900178909302, 0.2190743088722229, 0.30136942863464355, 0.4028235077857971, 0.34196028113365173, 0.24355188012123108, -2.0154190063476562, 0.27516302466392517, 0.44780394434928894, 0.4631223678588867, 0.45803654193878174, 0.4408511221408844, -0.2707776129245758, 0.49587881565093994, 0.3282630741596222, 0.2988933026790619, 0.33383774757385254, -4.214272975921631, 0.29717469215393066, 0.29967164993286133, 0.5836608409881592, 0.35262733697891235, 0.2785048484802246, 0.30464738607406616, 0.26690009236335754, 0.4771350026130676, 0.3683062791824341, -3.6405935287475586, 0.3420522212982178, -3.5560214519500732, 0.05929907411336899, 0.26792848110198975, 0.42569246888160706, 0.41890761256217957, -0.3349003791809082, 0.3033747673034668, 0.36687976121902466, -2.3409578800201416, 0.1804841160774231, -0.44977298378944397, 0.45262593030929565]"
1234567_100005,[1234573],"[[777],[1],[2],[33333],[4]]","[[777],[1],[2],[33333],[4]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",[5],[5],5,"[0.37097397446632385, 0.454309344291687, 0.40814340114593506, -2.031473159790039, 0.3965403735637665, 0.27359139919281006, -0.23913398385047913, 0.32893118262290955, 0.4755224287509918, 0.3318328857421875, 0.29641827940940857, 0.432648241519928, 0.4022381901741028, 0.37127476930618286, 0.2598709762096405, -2.952237129211426, -0.618201732635498, 0.33785295486450195, 0.48959726095199585, 0.322292685508728, 0.3403227925300598, 0.41134148836135864, 0.5172096490859985, -4.22340202331543, 0.3697473406791687, 0.39153552055358887, 0.4097151756286621, 0.26178595423698425, 0.24909108877182007, 0.34225767850875854, 0.1819683015346527, -1.9157112836837769, 0.2729523777961731, 0.41376668214797974, 0.3325260281562805, 0.154792919754982, -1.9329583644866943, 0.43745121359825134, 0.32018712162971497, 0.33235135674476624, 0.12329849600791931, 0.3057556748390198, 0.295867383480072, -1.9470711946487427, 0.3731215000152588, 0.254459947347641, 0.24289382994174957, 0.3629564642906189, 0.43662843108177185, 0.27047210931777954, 0.2841019034385681, 0.34863296151161194, 0.3119794726371765, 0.26003432273864746, 0.4162258207798004, 0.2609058916568756, 0.37045156955718994, 0.35567718744277954, -2.5297982692718506, -1.2243332862854004, 0.25999146699905396, 0.39757657051086426, 0.16982030868530273, 0.424949586391449, 0.23597972095012665, 0.47032883763313293, 0.26373061537742615, 0.27052369713783264, -2.6754844188690186, 0.48731452226638794, 0.45212820172309875, 0.3436591923236847, 0.34879443049430847, 0.5063256025314331, 0.1912430226802826, -0.6657105088233948, 0.49740874767303467, 0.2034599334001541, 0.36428073048591614, 0.22671771049499512, 0.24307556450366974, 0.4364508092403412, 0.38750118017196655, 0.43920567631721497, -2.6849594116210938, 0.24007950723171234, 0.41008108854293823, 0.34821298718452454, 0.34589076042175293, 0.32554763555526733, 0.40091443061828613, 0.5523494482040405, 0.21083278954029083, -1.999213457107544, 0.4154035449028015, 0.2809975743293762, 0.4095890522003174, 0.3442257344722748, 0.3088962733745575, -0.5360462069511414, 0.5467867255210876, 0.33347609639167786, 0.3038213849067688, 0.287179559469223, -4.346299648284912, 0.30904990434646606, 0.31334495544433594, 0.09542138129472733, 0.3829990029335022, 0.3687770962715149, 0.1992844194173813, 0.3408162593841553, 0.32769912481307983, 0.3354441523551941, -3.6399261951446533, 0.4727056324481964, -3.5199363231658936, 0.21176877617835999, 0.45085608959198, 0.4425084888935089, 0.36539047956466675, -0.4765281081199646, 0.5085154175758362, 0.46231111884117126, -2.3092236518859863, 0.40707677602767944, -0.36568304896354675, 0.43311208486557007]"
1234567_100006,[1234574],"[[1111],[1111],[222],[333],[444]]","[[1111],[1111],[222],[333],[444]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",[555],[555],5,"[0.2548614740371704, 0.2854914963245392, 0.7353364825248718, -2.114161968231201, 0.04458889737725258, 0.2788393199443817, -0.5186087489128113, 0.08135877549648285, 0.40757662057876587, 0.24906349182128906, 0.1891622394323349, 0.07244133204221725, 0.13331782817840576, 0.5793166756629944, 0.5508486032485962, -2.8471624851226807, -0.774072527885437, 0.37737661600112915, 0.3696272075176239, 0.1823665201663971, 0.24272234737873077, 0.5721060633659363, 0.19978047907352448, -4.039763927459717, 0.44855520129203796, 0.4216424822807312, 0.5235867500305176, 0.44428756833076477, 0.1925237774848938, 0.43579351902008057, 0.5188488364219666, -1.8638322353363037, 0.0549723282456398, 0.26244211196899414, 0.5825307965278625, 0.07983922958374023, -2.1512844562530518, 0.29861509799957275, 0.34731942415237427, 0.5293306112289429, 0.3331918716430664, 0.37513697147369385, 0.41287320852279663, -2.096125364303589, 0.5867010354995728, 0.46012410521507263, 0.4345189929008484, 0.29518961906433105, 0.31676387786865234, 0.5751469731330872, 0.32713568210601807, 0.21280835568904877, 0.19619300961494446, 0.15037263929843903, 0.3195866048336029, 0.35359668731689453, 0.5777367353439331, 0.22248110175132751, -2.561678171157837, -1.1974176168441772, 0.3809013366699219, 0.34508249163627625, 0.17216622829437256, 0.5216832160949707, 0.08540848642587662, 0.570758581161499, 0.46416813135147095, 0.36524835228919983, -2.4790380001068115, 0.21286097168922424, 0.0960616022348404, 0.26885199546813965, 0.09406637400388718, 0.21417400240898132, 0.5187703967094421, -0.6750856041908264, 0.20313839614391327, 0.2982022762298584, 0.29010799527168274, 0.38725918531417847, 0.47377583384513855, 0.3202865421772003, 0.25552621483802795, 0.4756096601486206, -2.5526790618896484, 0.5067452192306519, 0.29443323612213135, 0.30416908860206604, 0.35267743468284607, 0.3531762957572937, 0.39606398344039917, 0.40696316957473755, 0.3402147591114044, -2.0764942169189453, 0.16096284985542297, 0.3481824994087219, 0.5390276312828064, 0.5928928256034851, 0.4805985987186432, -0.22058889269828796, 0.6145002841949463, 0.3467852771282196, 0.4188460409641266, 0.3072943389415741, -4.292914867401123, 0.22487947344779968, 0.5564153790473938, 0.48603567481040955, 0.39011457562446594, 0.1867278814315796, 0.3003820776939392, 0.2754554748535156, 0.6043269038200378, 0.3182186484336853, -3.6200878620147705, 0.3065495789051056, -3.5162243843078613, 0.07803710550069809, 0.1017676591873169, 0.3551197648048401, 0.41990992426872253, -0.34895893931388855, 0.46292635798454285, 0.3369392454624176, -2.3594167232513428, 0.2707904875278473, -0.5391455888748169, 0.44990283250808716]"
1234567_100007,[1234575],"[[1111],[1111],[2222],[3333],[4444]]","[[1111],[1111],[2222],[3333],[4444]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",[5555],[5555],5,"[0.12947002053260803, 0.6227533221244812, 0.5703985095024109, -2.0606534481048584, 0.1805461347103119, 0.45173028111457825, -0.4898087978363037, -0.08172515034675598, 0.33337223529815674, 0.2994295060634613, 0.3251085579395294, 0.24323086440563202, 0.3680352568626404, 0.5528684258460999, 0.3437527120113373, -2.698336362838745, -0.297804057598114, 0.27141451835632324, 0.23610608279705048, 0.33664432168006897, 0.20545724034309387, 0.5694348216056824, 0.3547042906284332, -4.192513465881348, 0.30093902349472046, 0.06514716148376465, 0.40637585520744324, 0.2928708791732788, 0.06609901785850525, 0.4819420576095581, 0.6077930331230164, -1.6658040285110474, 0.10426568984985352, 0.2569431960582733, 0.5591630935668945, 0.206894189119339, -2.1499228477478027, 0.09461445361375809, 0.28612175583839417, 0.42430609464645386, 0.4275355339050293, 0.1841254085302353, 0.3882979452610016, -2.0968515872955322, 0.5249171257019043, 0.27712079882621765, 0.17626450955867767, 0.5856935977935791, 0.17810523509979248, 0.2928694188594818, 0.10782167315483093, 0.4803764522075653, 0.12294483184814453, -0.07919300347566605, 0.47831931710243225, 0.22484809160232544, 0.6026419997215271, 0.3180224895477295, -2.2244973182678223, -1.3453197479248047, 0.22818386554718018, 0.5796716213226318, 0.19262458384037018, 0.5100048780441284, 0.13488462567329407, 0.3574903905391693, 0.1900731325149536, 0.3581256866455078, -2.5206151008605957, 0.3615435063838959, 0.08829133957624435, 0.16145572066307068, -0.06151030957698822, 0.6140736937522888, 0.46294471621513367, -0.6528297066688538, 0.2742498815059662, 0.2850068509578705, 0.2416844367980957, 0.3820017874240875, 0.473342627286911, 0.32201269268989563, 0.36085695028305054, 0.3870098292827606, -2.545382022857666, 0.6359490752220154, -0.04327498376369476, 0.32726672291755676, 0.39679455757141113, 0.4056069254875183, 0.3113987445831299, 0.458225816488266, 0.5819991827011108, -2.0577170848846436, 0.34244534373283386, 0.3145615756511688, 0.3647879362106323, 0.5863946676254272, 0.37487873435020447, -0.3551177680492401, 0.6217849254608154, -0.008323557674884796, 0.4489966928958893, 0.3717680275440216, -4.4095330238342285, 0.47335439920425415, 0.6801943182945251, 0.3659733831882477, 0.4577734172344208, 0.1759813278913498, 0.35102397203445435, 0.31066441535949707, 0.6525446772575378, 0.2312002331018448, -3.7220842838287354, 0.42329081892967224, -3.6325511932373047, 0.33764737844467163, 0.10184202343225479, 0.45017769932746887, 0.43219584226608276, -0.157739520072937, 0.49180105328559875, 0.31616339087486267, -2.318081855773926, 0.4861717224121094, -0.49464768171310425, 0.4161446690559387]"
1234567_100008,[1234576],"[[888],[11],[222],[333],[444]]","[[888],[11],[222],[333],[444]]","[[pv],[clk],[pv],[pv],[atc]]","[[99911],[99933],[99955],[99960],[99999]]",[555],[555],5,"[0.24189306795597076, 0.32554730772972107, 0.5973098874092102, -2.1209518909454346, 0.10650799423456192, 0.3145124316215515, -0.3112250864505768, 0.09492848813533783, 0.41413137316703796, 0.2603890895843506, 0.15211178362369537, 0.1671939343214035, 0.1855122447013855, 0.5077674984931946, 0.5599091649055481, -2.843125343322754, -0.7424986362457275, 0.431037962436676, 0.3196527659893036, 0.2352995127439499, 0.42564189434051514, 0.4259682595729828, 0.3126329481601715, -4.112667083740234, 0.41934505105018616, 0.471187949180603, 0.505385160446167, 0.3917720913887024, 0.33210015296936035, 0.33245447278022766, 0.39025992155075073, -1.96812105178833, 0.2008388191461563, 0.24693790078163147, 0.4156067371368408, 0.07572880387306213, -2.113239049911499, 0.44649580121040344, 0.3543589115142822, 0.4752204716205597, 0.2163543701171875, 0.4548543095588684, 0.3813941478729248, -2.165853977203369, 0.5181751251220703, 0.318940669298172, 0.3873499035835266, 0.22780436277389526, 0.24107885360717773, 0.5775536298751831, 0.35464340448379517, 0.2194911241531372, 0.2373751699924469, 0.2257135808467865, 0.3812994360923767, 0.3220328986644745, 0.468326210975647, 0.3343276381492615, -2.569136142730713, -1.251636028289795, 0.3622133731842041, 0.3379453718662262, 0.18602347373962402, 0.460366427898407, 0.23916293680667877, 0.46845901012420654, 0.2915545105934143, 0.34721639752388, -2.5547828674316406, 0.24905893206596375, 0.33118051290512085, 0.31385618448257446, 0.2800726890563965, 0.2678107023239136, 0.5610453486442566, -0.505220890045166, 0.30143532156944275, 0.35304057598114014, 0.16073794662952423, 0.5210363864898682, 0.49220243096351624, 0.38646483421325684, 0.24478872120380402, 0.4537827968597412, -2.5703330039978027, 0.4806442856788635, 0.3472631871700287, 0.29875171184539795, 0.2846851944923401, 0.3835679292678833, 0.3877086639404297, 0.29065176844596863, 0.20496104657649994, -1.9804604053497314, 0.24326935410499573, 0.4066261053085327, 0.40135565400123596, 0.4906318485736847, 0.5391196608543396, -0.2774782180786133, 0.49223852157592773, 0.3518895208835602, 0.36691221594810486, 0.399493545293808, -4.158718585968018, 0.27334362268447876, 0.39075326919555664, 0.6310173869132996, 0.3295058012008667, 0.29852157831192017, 0.3317669630050659, 0.2743220329284668, 0.4867601990699768, 0.3863706588745117, -3.6713995933532715, 0.26286405324935913, -3.673224687576294, -0.018884507939219475, 0.1687464565038681, 0.35438981652259827, 0.3371315598487854, -0.3133155405521393, 0.3456547260284424, 0.43175461888313293, -2.3010127544403076, 0.2622213363647461, -0.5621355772018433, 0.4087998867034912]"
